artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
TXT,single,Free Falling,2022-09-19,2022,47,217207,False,1,1,3,11.75
BTS,album,작은 것들을 위한 시 (Boy With Luv) (feat. Halsey),2019-04-12,2019,47,229773,False,1,2,6,6.714285714285714
aespa,album,Mine,2024-05-27,2024,47,193253,False,1,4,1,23.5
TXT,single,Ito,2021-11-02,2021,47,243247,False,1,1,4,9.4
aespa,single,Jingle Bell Rock,2023-11-24,2023,47,130613,False,1,1,2,15.666666666666666
TXT,album,Ice Cream,2021-05-31,2021,47,202761,False,1,4,4,9.4
BTS,album,Spine Breaker,2014-05-14,2014,47,238529,False,1,10,11,3.9166666666666665
BTS,album,Tomorrow,2014-05-14,2014,47,261574,False,1,8,11,3.9166666666666665
BTS,album,Outro : Ego,2022-06-10,2022,47,196353,False,2,8,3,11.75
BTS,album,Intro : Persona,2022-06-10,2022,47,171023,False,2,2,3,11.75
aespa,album,Long Chat (#♥),2024-05-27,2024,46,195786,False,1,7,1,23.0
BTS,album,Outro: Propose,2014-05-14,2014,46,122513,False,1,12,11,3.8333333333333335
aespa,album,Licorice,2024-05-27,2024,46,158933,False,1,5,1,23.0
BTS,album,Wake Up,2014-12-24,2014,46,352133,False,1,12,11,3.8333333333333335
BTS,album,Skit: Billboard Music Awards Speech,2017-09-18,2017,46,107062,False,1,6,8,5.111111111111111
TXT,single,Your Light,2020-11-24,2020,45,217893,False,1,1,5,7.5
BTS,album,The Stars,2014-12-24,2014,45,255320,False,1,2,11,3.75
TXT,single,EYES (from “Armored Saurus”),2021-11-04,2021,44,214197,False,1,1,4,8.8
TXT,album,Force,2021-01-19,2021,44,241453,False,1,2,4,8.8
BTS,album,Where You From,2014-05-14,2014,44,240106,False,1,6,11,3.6666666666666665
TXT,single,"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",2021-06-25,2021,44,205147,False,1,1,4,8.8
BTS,album,Skit: Soulmate,2014-05-14,2014,44,92791,False,1,5,11,3.6666666666666665
aespa,single,Beautiful Christmas,2022-12-14,2022,44,209800,False,1,1,3,11.0
BTS,album,BTS Cypher Pt.2: Triptych,2014-05-14,2014,44,288771,False,1,9,11,3.6666666666666665
